community_id,community_name,percent_households_below_poverty,per_capita_income
14,Albany Park,19.2,21323
57,Archer Heights,14.1,16134
34,Armour Square,40.1,16148
70,Ashburn,10.4,23482
71,Auburn Gresham,27.6,15528
25,Austin,28.6,15957
45,Avalon Park,17.2,24454
21,Avondale,15.3,20039
19,Belmont Cragin,18.7,15461
72,Beverly,5.1,39523
60,Bridgeport,18.9,22694
58,Brighton Park,23.6,13089
47,Burnside,33,12515
48,Calumet Heights,11.5,28887
44,Chatham,27.8,18881
66,Chicago Lawn,27.9,13231
64,Clearing,8.9,25113
35,Douglas,29.6,23791
17,Dunning,10.6,26282
27,East Garfield Park,42.4,12961
52,East Side,19.2,17104
77,Edgewater,18.2,33385
9,Edison Park,3.3,40959
68,Englewood,46.6,11888
12,Forest Glen,7.5,44164
37,Fuller Park,51.2,10432
63,Gage Park,23.4,12171
56,Garfield Ridge,8.8,26353
38,Grand Boulevard,29.3,23472
69,Greater Grand Crossing,29.6,17285
55,Hegewisch,17.1,22677
20,Hermosa,20.5,15089
23,Humboldt park,33.9,13781
41,Hyde Park,18.4,39056
16,Irving Park,13.1,27249
11,Jefferson Park,8.6,27751
39,Kenwood,21.7,35911
6,Lake View,11.4,60058
7,Lincoln Park,12.3,71551
4,Lincoln Square,10.9,37524
22,Logan Square,16.8,31908
32,Loop,14.7,65526
31,Lower West Side,25.8,16444
59,McKinley Park,18.7,16954
18,Montclaire,15.3,22014
75,Morgan Park,13.2,27149
74,Mount Greenwood,3.4,34381
8,Near North Side,12.9,88669
33,Near South Side,13.8,59077
28,Near West Side,20.6,44689
61,New City,29,12765
5,North Center,7.5,57123
29,North Lawndale,43.1,12034
13,North Park,13.2,26576
10,Norwood Park,5.4,32875
36,Oakland,39.7,19252
76,O'Hare,15.4,25828
15,Portage Park,11.6,24336
50,Pullman,21.6,20588
54,Riverdale,56.5,8201
1,Rogers Park,23.6,23939
49,Roseland,19.8,17949
46,South Chicago,29.8,16579
51,South Deering,29.2,14685
30,South Lawndale,30.7,10402
43,South Shore,31.1,19398
3,Uptown,24,35787
73,Washington Height,16.9,19713
40,Washington Park,42.1,13785
62,West Elsdon,15.6,15754
67,West Englewood,34.4,11317
26,West Garfield Park,41.7,10934
65,West Lawn,14.9,16907
53,West Pullman,25.9,16563
2,West Ridge,17.2,23040
24,West Town,14.7,43198
42,Woodlawn,30.7,18672
