community_id,"Per Capita Income (In Thousands)","Percentage Pass","Percentage Fail"
1,23.94,77.25,22.75
2,23.04,79.04,20.96
3,35.79,78.85,21.15
4,37.52,79.91,20.09
5,57.12,80.07,19.93
6,60.06,80.53,19.47
7,71.55,80.07,19.93
8,88.67,81.53,18.47
9,40.96,81.59,18.41
10,32.88,83.08,16.92
11,27.75,83.17,16.83
12,44.16,82.76,17.24
13,26.58,83.7,16.3
14,21.32,82.87,17.13
15,24.34,86.32,13.68
16,27.25,81.91,18.09
17,26.28,85.81,14.19
18,22.01,85.81,14.19
19,15.46,81.18,18.82
20,15.09,79.98,20.02
21,20.04,79.6,20.4
22,31.91,78.27,21.73
23,13.78,77.53,22.47
24,43.2,80.2,19.8
25,15.96,74.79,25.21
26,10.93,80.09,19.91
27,12.96,78.76,21.24
28,44.69,80.8,19.2
29,12.03,79.55,20.45
30,10.4,79.53,20.47
31,16.44,80.29,19.71
32,65.53,83.47,16.53
33,59.08,80.1,19.9
34,16.15,82.73,17.27
35,23.79,81.68,18.32
36,19.25,76.19,23.81
37,10.43,86.04,13.96
38,23.47,80.46,19.54
39,35.91,74.6,25.4
40,13.79,78.6,21.4
41,39.06,73.9,26.1
42,18.67,71.84,28.16
43,19.4,70.93,29.07
44,18.88,72.69,27.31
45,24.45,73.17,26.83
46,16.58,73.79,26.21
47,12.52,69.8,30.2
48,28.89,73.17,26.83
49,17.95,72.88,27.12
50,20.59,71.38,28.62
51,14.69,76,24
52,17.1,76.36,23.64
53,16.56,76.14,23.86
54,8.2,73.3,26.7
55,22.68,76,24
56,26.35,82.19,17.81
57,16.13,78.64,21.36
58,13.09,81.97,18.03
59,16.95,81.53,18.47
60,22.69,81.97,18.03
61,12.77,86.04,13.96
62,15.75,80.71,19.29
63,12.17,81.71,18.29
64,25.11,85.26,14.74
65,16.91,84.29,15.71
66,13.23,81.26,18.74
67,11.32,76.8,23.2
68,11.89,75.67,24.33
69,17.29,73.18,26.82
70,23.48,80.92,19.08
71,15.53,75.99,24.01
72,39.52,79.01,20.99
73,19.71,76.13,23.87
74,34.38,87.98,12.02
75,27.15,77.79,22.21
76,25.83,86.15,13.85
77,33.39,76.26,23.74
